AcademyId,name,score
1,김지수 아카데미,0.0
2,test,15.185185185185185
6,Google,4.054054054054054
7,First Star,12.195767195767196
8,dfsd,5.0
10,학숲학원,12.569444444444445
11,3.14 수학학원,0.0
12,이엔에스 영어학원,0.0
13,프라임리더스 논술학원 분당캠퍼스,0.0
14,YBM ECC 판교캠퍼스,0.0
15,분당청솔학원,0.0
16,리케이온랭귀지포럼 광교캠퍼스,0.0
17,다린수학,0.0
18,올탑수학학원,0.0
19,강주희국어&김수학,0.0
20,더원학원 분당점,0.0
21,이존영어학원,0.0
22,솔루션수학학원,0.0
23,폴리어학원 분당캠퍼스,0.0
24,메가스터디 러셀 분당학원,0.0
26,김지수 아카데미,10.767622461170848
29,김지수 아카데미,0.0423728813559322
30,김지수 아카데미,0.0
34,김지수 아카데미,0.0
35,김지수 아카데미,0.0
36,asdf,0.0
38,sh아카데미,0.0
39,ha,0.0
40,ㅁㅇㄹ,0.0
41,ㅁㄴㅇㄹㄴㅁ,0.0
42,abc,0.0
43,123,0.0
44,234,14.074074074074073
45,098,3.333333333333333
46,7,0.0
47,6,0.0
48,5,0.0
49,09,0.0
50,89,0.0
51,더블유메이커스,8.020434227330778
52,학숲,0.0
53,김선홍,0.0
54,학숲,0.0
55,학숲,0.0
56,ABC 아카데미,0.0
57,A 아카데미,0.0
58,B 아카데미,0.0
59,A 아카데미,0.0
60,C 아카데미,0.0
61,A 아카데미,0.0
62,A 아카데미,0.0
63,D 아카데미,0.0
64,E 아카데미,0.0
65,ABC,0.0
66,테스트 아카데미,0.0
67,AF 아카데미,0.0
70,1,0.0
76,123123,0.0
77,abcd,0.0
78,modify,0.0
79,firebaseTest,0.0
84,Testing 002,1.7989417989417986
85,653-₩+__%+\-4,0.0
86,더블유 메이커스,41.85039018031868
87,Google,6.666666666666666
88,학숲김선홍학원,6.666666666666666
89,academy_test,3.333333333333333
90,AAAABBBB 아카데미,0.0
91,filetest,3.333333333333333
92,we work academy,0.0
93,학숲학원,10.0
94,haksoop test,1.3227513227513228
95,hakksoop test,1.2794612794612794
96,haksoop file upload test,0.0
97,absdfwewewe,10.0
98,안녕,10.0
99,soopsoop,8.0
100,Tester.toss,8.575498575498575
101,wework 5층,10.147313881753716
102,00908980980,17.411433172302736
105,Chaes Acad,19.27777777777778
106,Chaes Acad2,10.0
11363,WEWORK academy,0.0
11364,hand sanitizer,0.0
11365,11111111111111111111111,0.0
11366,신청에 입력한 핸드폰,0.0
11367,(주)멘토르수학전문학원,0.0
11368,(주)산에듀김영준국어논술전문별관학원,0.0
11369,(주)산에듀김영준국어논술전문프리미엄관학원,0.0
11370,(주)산에듀김영준국어논술전문학원,0.0
11371,(주)세한아카데미외국어학원,0.0
11372,(주)인사이트어학원,0.0
11373,(주)지이에스어학원,0.0
11374,1%국어교습소,0.0
11375,101프렙영어학원,0.0
11376,1-5디자인랩(Designlab)학원,0.0
11377,1교시수학학원,0.0
11378,21세기수학보습학원,0.0
11379,247에듀케어학원,0.0
11380,2관솔학원,0.0
11381,301아카데미(Academy)영어교습소,0.0
11382,3에스잉글리쉬영어교습소,0.0
11383,414자기주도학습(SDL)원격학원,0.0
11384,9087스튜디오미술교습소,0.0
11385,BT수학전문수학교습소,0.0
11386,BV수능영어교습소,0.0
11387,CIM피아노학원,0.0
11388,DP수학학원,0.0
11389,G1(지원)미술학원,0.0
11390,GLMA글로벌인생만남논술교습소,0.0
11391,GLP아카데미(GLPEnglishAcademy)학원,0.0
11392,H바른미술고등관학원,0.0
11393,IG수학교습소,0.0
11394,JENNA영어학원,0.0
11395,J바이올린음악교습소,0.0
11396,J영어학원,0.0
11397,K&M수학학원,0.0
11398,K2I수학올림피아드학원,0.0
11399,KL실천영어교습소,0.0
11400,LK수학학원,0.0
11401,LK인공지능수학학원,0.0
11402,LYS잉글리쉬(English)영어교습소,0.0
11403,m한울수학학원,0.0
11404,S2수학교습소,0.0
11405,SCMA음악교습소,0.0
11406,SJ EMI영어교습소,0.0
11407,SJ수학교습소,0.0
11408,SNU국악학원,0.0
11409,S에스학원,0.0
11410,UK스콜라즈어학원,0.0
11411,가나국어교습소,0.0
11412,가람국어학원,0.0
11413,가슴시각미술교습소,0.0
11414,가온미술학원,0.0
11415,가온수학교습소,0.0
11416,가우디미술학원,0.0
11417,가인아카데미학원,0.0
11418,가치수학교습소,0.0
11419,감성수학학원,0.0
11420,감성예찬미술교습소,0.0
11421,강남개포자라다남아미술학원,0.0
11422,강남고도미술학원,0.0
