AcademyId,name,score
1,학원1,54.48740842490842
2,학원2,59.15113636363637
3,학원3,62.22464147586868
4,학원4,61.132413323111
5,학원5,59.55085097550852
6,학원6,57.40659340659341
7,학원7,60.26639903044993
8,학원8,54.447181612370976
9,학원9,50.91180699332873
10,학원10,56.336898335582546
11,학원11,56.416450216450215
12,학원12,56.62134393384393
13,학원13,57.811812749400445
14,학원14,61.78354978354979
15,학원15,51.89607843137255
16,학원16,50.95538688593717
17,학원17,56.93054816863454
18,학원18,57.87594696969697
19,학원19,56.12057387057387
20,학원20,52.960487225193106
21,학원21,58.88642219517143
22,학원22,51.22439613526571
23,학원23,50.76100451798392
24,학원24,55.78079043570417
25,학원25,49.50291218637993
26,학원26,54.521125869702715
27,학원27,55.9211651644236
28,학원28,54.7725527161011
29,학원29,57.5343621300258
30,학원30,55.097806744218246
