AcademyId,name,score
1,학원1,72.20523735810113
2,학원2,67.53420934411501
3,학원3,65.96371308016879
4,학원4,68.796992481203
5,학원5,70.67043956043956
6,학원6,64.74963210702342
7,학원7,68.85018410752909
8,학원8,69.21285030758715
9,학원9,64.85816993464051
10,학원10,68.24821428571428
11,학원11,68.3740130836905
12,학원12,67.71012799461076
13,학원13,68.18988603988603
14,학원14,69.13370810321148
15,학원15,69.58793336944746
16,학원16,64.79491076221149
17,학원17,66.94408772044955
18,학원18,66.58104146307413
19,학원19,67.48153343135738
20,학원20,67.70995670995671
21,학원21,72.98603988603989
22,학원22,71.40659111933395
23,학원23,67.16333620854897
24,학원24,68.49577500507203
25,학원25,66.1845689033189
26,학원26,76.62006512006514
27,학원27,70.24063492063492
28,학원28,69.72205697528278
29,학원29,69.19962406015037
30,학원30,65.14130164647406
