AcademyId,interest_user,interest_exposure,interestScore
1,32,67,14.328358208955224
2,31,52,17.884615384615383
3,30,57,15.789473684210526
4,29,81,10.74074074074074
5,30,92,9.782608695652174
6,35,88,11.931818181818182
7,31,52,17.884615384615383
8,45,69,19.565217391304348
9,20,96,6.25
10,25,79,9.49367088607595
11,25,79,9.49367088607595
12,21,76,8.289473684210527
13,22,99,6.666666666666666
14,30,84,10.714285714285715
15,32,91,10.549450549450551
16,28,52,16.153846153846153
17,31,54,17.22222222222222
18,29,82,10.609756097560975
19,30,81,11.11111111111111
20,39,84,13.928571428571429
21,27,56,14.464285714285715
22,29,55,15.818181818181817
23,32,72,13.333333333333332
24,23,79,8.734177215189874
25,34,100,10.200000000000001
26,35,60,17.5
27,30,82,10.97560975609756
28,29,50,17.4
29,33,92,10.76086956521739
30,33,66,15.0
