AcademyId,name,score
1,학원1,63.11623699683401
2,학원2,78.13551144196305
3,학원3,70.491982644784
4,학원4,63.468415364967086
5,학원5,63.47308488612836
6,학원6,63.49249406507471
7,학원7,69.38021655763592
8,학원8,66.60225442834138
9,학원9,84.67276422764226
10,학원10,71.6528106710222
11,학원11,74.51450421940928
12,학원12,76.0715414662783
13,학원13,67.8396871945259
14,학원14,68.26984126984127
15,학원15,66.38278388278388
16,학원16,65.9541533735082
17,학원17,72.3405017921147
18,학원18,68.13849172974489
19,학원19,66.32183908045977
20,학원20,69.10990660990662
21,학원21,75.53545492270983
22,학원22,74.14002089864158
23,학원23,73.57142857142857
24,학원24,76.80181006543143
25,학원25,67.59405439595193
26,학원26,71.04212454212454
27,학원27,67.43592721641502
28,학원28,75.69022988505748
29,학원29,72.83879164313946
30,학원30,71.924416579589
